0.13624	1.602545e-08
0.16283	2.074985e-08
0.19358	2.254475e-08
0.22654	1.91208e-08
0.28086	2.0562300000000002e-08
0.3392	2.3767700000000002e-08
0.37867	5.655795e-08
0.43396	5.3730750000000006e-08
0.47941	4.4633800000000004e-08
0.56995	3.3447450000000006e-08
0.64298	2.506195e-08
0.7564	1.765295e-08
0.8357	1.4664550000000001e-08
0.9183	1.3229250000000002e-08
1.0039	1.2697599999999999e-08
1.1149	1.03323e-08
1.2512	8.76215e-09
1.4643	7.664750000000001e-09
1.7317	7.06025e-09
2.016	6.70685e-09
2.2625	6.50535e-09
2.7324	5.930455e-09
3.181	5.57628e-09
3.6839	4.778340000000001e-09
4.1778	4.223130000000001e-09
4.5912	3.849425e-09
5.0191	3.4371249999999998e-09
5.317	3.2985550000000007e-09
5.8432	3.0066900000000005e-09
6.4551	2.74071e-09
6.9103	2.6850649999999998e-09
7.2822	2.7698500000000003e-09
7.594	3.0711700000000003e-09
7.755	3.47603e-09
8.045	3.77549e-09
8.215	4.546305e-09
8.259	5.040445e-09
8.612	5.88473e-09
8.749	6.7301e-09
8.934	7.616700000000002e-09
9.028	8.53275e-09
9.171	9.961850000000002e-09
9.564	1.027495e-08
10.026	1.0276500000000001e-08
10.456	9.56195e-09
10.733	8.89545e-09
11.193	7.942200000000002e-09
11.672	7.46635e-09
12.236	6.8045000000000015e-09
12.76	6.138e-09
13.518	5.65254e-09
13.95	5.65285e-09
14.547	5.89155e-09
15.012	6.599900000000001e-09
15.737	7.317549999999999e-09
16.411	8.283200000000001e-09
17.204	9.672000000000002e-09
18.13	1.0612850000000002e-08
19.51	1.1293300000000002e-08
25.357	1.0298200000000002e-08
30.624	9.783600000000002e-09
37.178	9.106250000000001e-09
42.831	8.049150000000001e-09
47.815	7.7252e-09
53.101	7.1889e-09
59.28	6.28835e-09
69.376	5.117015e-09
79.51	4.0791350000000005e-09
88.76	2.99398e-09
112.37	1.6129300000000001e-09
137.86	7.918950000000001e-10
175.46	3.399615e-10
234.09	1.0712050000000002e-10
354.19	1.78064e-11
647.2	1.111195e-12
919.5	1.9647800000000002e-13
